run,last_epoch,best_epoch,map50_95,ap50,ap75,precision,recall,f1,tiny_recall,small_recall
r32_res512_seed11_60e,60,18,0.2359951583261136,0.5173014402389526,0.18712177872657776,0.8215183509301156,0.2634633989035795,0.3989744841899646,0.0,0.025323910482921083
r33_res576_seed11_60e,60,30,0.30135417887941,0.6082925200462341,0.26522162556648254,0.8844139425681777,0.39479200257981295,0.5459004514798507,0.015317286652078774,0.0762214983713355
r34_res576_seed14_60e,60,29,0.2676461185794324,0.5595563054084778,0.2311180979013443,0.8722544811916183,0.27853918090938407,0.42224259089520316,0.002188183807439825,0.05863192182410423
r35_res640_seed15_60e,60,19,0.26896550960373133,0.5627968311309814,0.22293159365653992,0.9060615677562679,0.23016768784263142,0.3670845387335262,0.001314060446780552,0.021846370683579985
r36_res704_seed11_60e,60,21,0.29892766267294063,0.6033315658569336,0.26548951864242554,0.8377488634582223,0.4308287649145437,0.5690251823457382,0.0,0.0314900153609831
r37_res768_seed11_60e,60,20,0.2770735425576277,0.5934545397758484,0.22676582634449005,0.870604781997187,0.3493227990970655,0.49859041482078137,0.0,0.11608623548922056
r38_res576_seed15_100e,27,18,0.2744185672258027,0.574102520942688,0.23699118196964264,0.8658299069465484,0.322557239600129,0.47001468428781207,0.005470459518599562,0.1257328990228013
r39_res576_seed16_100e,40,31,0.2720818241708912,0.5609904527664185,0.22925855219364166,0.8332127351664255,0.37133182844243795,0.5137184920811956,0.0,0.013680781758957655
r40_res576_seed17_100e,39,15,0.22182997924828668,0.49791595339775085,0.16953183710575104,0.8459937565036421,0.19663011931634958,0.3190946555897167,0.0,0.006514657980456026
r41_res704_seed14_100e,32,20,0.23123101774835958,0.5134183764457703,0.17921887338161469,0.8449922958397534,0.22105772331505966,0.3504377276503291,0.0,0.01228878648233487
r42_res704_seed15_100e,31,23,0.27277728813205615,0.5757436156272888,0.23002347350120544,0.8803245436105477,0.3148984198645598,0.46386794133365006,0.001557632398753894,0.065284178187404
r43_res672_seed11_100e,33,31,0.2805589536903426,0.5839942097663879,0.23744800686836243,0.8498858447488584,0.36012576588197354,0.5058890147225368,0.004285714285714286,0.06268436578171091
r44_res672_seed14_100e,33,20,0.251754550577607,0.5236454606056213,0.2102796584367752,0.8252640845070423,0.3023218316672041,0.44253009204625915,0.0,0.003687315634218289
r45_final448_seed11_100e,97,40,0.24899923381453845,0.5283417701721191,0.2061496526002884,0.8062724014336917,0.36270557884553367,0.5003336298932384,0.0021037868162692847,0.10710441334768568
r46_final448_seed15_100e,90,25,0.2618320342618972,0.5612104535102844,0.2108098566532135,0.8173982442138866,0.41285069332473395,0.5486099951791741,0.0021037868162692847,0.155005382131324
r47_final512_seed11_100e,90,25,0.23778964462690055,0.5186212062835693,0.1866140067577362,0.8010664479081214,0.3148984198645598,0.4520833333333333,0.004363001745200698,0.11425206124852769
r48_final512_seed15_100e,84,27,0.2527770422049798,0.5353550314903259,0.20487149059772491,0.8827906976744186,0.22952273460174138,0.36432273338025467,0.0,0.004711425206124852
r49_final576_seed11_100e,86,25,0.2864225102122873,0.5805879831314087,0.24371448159217834,0.9198738170347003,0.23508545630441793,0.37447027096442786,0.0,0.01758957654723127
r50_final576_seed15_100e,83,18,0.2744185672258027,0.574102520942688,0.23699118196964264,0.8658299069465484,0.322557239600129,0.47001468428781207,0.005470459518599562,0.1257328990228013
