epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,2.4048494156391087e-05,1.3839369905694656,0.23189595209263997,0.6356370775698308,0.25820198024914803,387.7125617114646,0.9956469724809999,1.610114447151621,0.32358398909370106,0.6434842956562837,0.32152307871729136,522.859375,0.5613530874252319,0.20412588119506836,0.25583042254147587,0.6004499048278249,0.5594969364721057,0.5792504799265503,0.5949006080627441,0.28564453125,0.407707672423922,6940,4618,5464,0.7394431233406067,7.549314173742652,0.025473546701502287,0.10711952971913782,0.25,2180,213,0.09770642201834863,3009,1640,0.5450315719508142,5721,3891,0.6801258521237545,1494,1196,0.8005354752342704,38.84195948215031,0.3600478172302246,1024.0,596.9850100000003,0
2,2.1338834764831845e-05,1.371969965415804,0.2281609598508394,0.6348903582636236,0.2544593234197556,387.79319802523315,0.9948328963623424,1.5971032815674941,0.3130225244676694,0.6432926049456,0.32039407826960087,522.859375,0.5641018152236938,0.20636995136737823,0.25845725436956857,0.6468548309411425,0.5413576265720735,0.5894228659205618,0.594369113445282,0.26025390625,0.41785936527691353,6715,3666,5689,0.7433285713195801,6.780535597648596,0.041149575440888306,0.11495754408883083,0.25,2180,193,0.08853211009174312,3009,1584,0.5264207377866401,5721,3777,0.6601992658626115,1494,1161,0.7771084337349398,38.97749488427792,0.3576798439025879,1024.0,598.488034,0
3,1.7283542904563625e-05,1.369067342805784,0.22680640201433241,0.6347522288315648,0.2537543553117207,387.8535381239715,0.9951215791002578,1.607735151425004,0.3219909603940323,0.6434388433893522,0.32115267038655776,522.859375,0.5626535415649414,0.20978835225105286,0.25883962750667705,0.6148134895786743,0.5540954530796517,0.5828774965017173,0.5942506790161133,0.269287109375,0.41131059245960505,6873,4306,5531,0.7418318390846252,7.301763553233181,0.03069888961463096,0.1077726975832789,0.25,2180,208,0.09541284403669725,3009,1625,0.5400465270854105,5721,3865,0.6755811920992834,1494,1175,0.786479250334672,39.04302511093222,0.3600478172302246,1024.0,599.1567790999998,0
4,1.25e-05,1.3667215551574088,0.2254762115898004,0.6349567146793016,0.25314431498976636,387.8496982995063,0.9996555868865237,1.6072854983309905,0.32220340077765286,0.6434332843249043,0.3208244064201911,522.859375,0.562840461730957,0.20697063207626343,0.2578993578936206,0.6076060287416755,0.5590132215414383,0.5822976150487068,0.5948384404182434,0.28173828125,0.41073332543537494,6934,4478,5470,0.7411442995071411,7.453951665578054,0.028739386022207707,0.10842586544741999,0.25,2180,209,0.09587155963302753,3009,1646,0.5470255898969757,5721,3905,0.682572976752316,1494,1174,0.785809906291834,38.90219412146129,0.3592853546142578,1024.0,598.1908162,0
5,7.716457095436378e-06,1.365576054261271,0.2245738629621591,0.6348242171505161,0.25308898643059713,387.66209544706527,0.9940535431534657,1.6053680162876844,0.3196867771136264,0.643449276064833,0.32111598054567975,522.859375,0.5632994771003723,0.20664739608764648,0.25774130988284016,0.6275103163686382,0.5516768784263141,0.5871551761122312,0.5947763919830322,0.27734375,0.4155836268674845,6843,4062,5561,0.7418726086616516,7.122795558458524,0.040496407576747225,0.11299804049640758,0.25,2180,210,0.0963302752293578,3009,1622,0.5390495181123297,5721,3844,0.6719105051564411,1494,1167,0.7811244979919679,38.90758664817772,0.3592853546142578,1024.0,602.6247910000002,0
6,3.6611652351681568e-06,1.365827091042314,0.2259988381608593,0.6346326288912758,0.25259781228730915,387.78826110806364,1.0108130493304002,1.6035361227889855,0.31997719845579314,0.6434253252421817,0.3200667987888058,522.859375,0.5643524527549744,0.20304320752620697,0.2575912418324151,0.6171464218875323,0.5582876491454369,0.5862433862433862,0.5981556177139282,0.273681640625,0.41467065868263475,6925,4296,5479,0.7399923205375671,7.329196603527106,0.033964728935336384,0.10711952971913782,0.25,2180,214,0.0981651376146789,3009,1651,0.548687271518777,5721,3882,0.6785527005768223,1494,1178,0.7884872824631861,38.86764742970581,0.3592853546142578,1024.0,598.3485788000016,0
7,9.515058436089158e-07,1.3648457402916185,0.22469099401381404,0.6348419057361647,0.25265641951881396,387.8008776741635,1.0017366244677848,1.5987179881582658,0.3143695605297883,0.6433530210827788,0.3204977047474434,522.859375,0.5655209422111511,0.21030709147453308,0.26004053116339493,0.6475644699140402,0.5465978716543051,0.5928128005595874,0.5966814756393433,0.275146484375,0.4212750093202436,6780,3690,5624,0.7432175278663635,6.838667537557153,0.043762246897452645,0.11495754408883083,0.25,2180,208,0.09541284403669725,3009,1599,0.5314057826520439,5721,3808,0.6656178989687118,1494,1165,0.7797858099062919,39.19107608095381,0.3600478172302246,1024.0,594.9933433999995,0
8,0.0,1.3645848755776326,0.22519153067193318,0.6347807866495125,0.2523062786376548,387.786066922655,1.0031691343654856,1.6071028026441734,0.32132686899664503,0.6434496734291315,0.3211631315449874,522.859375,0.5627701878547668,0.20821048319339752,0.2580945737718139,0.6217879116901919,0.5540148339245404,0.5859481582537518,0.5954597592353821,0.284423828125,0.4143753014954173,6872,4180,5532,0.7418091297149658,7.218811234487263,0.038536903984323974,0.10646636185499674,0.25,2180,206,0.0944954128440367,3009,1636,0.5437022266533732,5721,3859,0.6745324244013284,1494,1171,0.7838018741633199,38.954450748221525,0.3592853546142578,1024.0,602.7984160999986,0
