epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009997532801828658,2.3403062417909695,0.5215846334959006,0.7853044185158494,0.5167085942316365,510.4051948051948,3.834466577814771,2.0689182511220374,0.5064681377261877,0.6674810849751035,0.44748451514169574,576.7916666666666,0.13291363418102264,0.01459974329918623,0.03908588717815462,0.3561304836895388,0.12762012254111577,0.187904326666271,0.21621620655059814,0.202392578125,0.1036944844753046,1583,2862,10821,0.6585784554481506,2.9033311561071193,0.5689092096668844,0.7877204441541477,0.25,1426,2,0.001402524544179523,1858,94,0.05059203444564048,6116,1340,0.21909744931327665,3004,147,0.048934753661784285,33.55334899464519,0.6976327896118164,1024.0,610.0561170000001,0
2,0.0009990133642141358,1.9262281256062643,0.4195472789662225,0.6639836585366881,0.4213485947870589,510.35194805194806,1.7079104707225576,1.9166410050044458,0.43622072009990615,0.6583091265832385,0.41105557636668283,576.7916666666666,0.17963683605194092,0.006889535579830408,0.047442425335270856,0.3448058099147458,0.17607223476297967,0.23310918988152418,0.27667322754859924,0.1707763671875,0.1319318593693367,2184,4150,10220,0.648543119430542,4.137165251469628,0.6048334421946441,0.7531025473546702,0.25,1426,8,0.005610098176718092,1858,316,0.17007534983853606,6116,1684,0.2753433616742969,3004,176,0.05858854860186418,33.619488319294845,0.6976327896118164,1024.0,613.4253252999988,0
3,0.00099778098230154,1.8173858694441907,0.3832804478027604,0.6570542986516829,0.38852556175612785,510.42987012987015,1.481555809603109,1.847687941044569,0.4218947008873026,0.6524675112838546,0.38666286412626505,576.7916666666666,0.2461533099412918,0.019373415037989616,0.07682837838633531,0.4078006000461574,0.28490809416317314,0.335453251067869,0.35301586985588074,0.2105712890625,0.20152828467153286,3534,5132,8870,0.6818903088569641,5.660352710646636,0.35336381450032656,0.5303723056825604,0.25,1426,14,0.009817671809256662,1858,404,0.21743810548977396,6116,2490,0.40712884238064095,3004,626,0.20838881491344874,32.11709871881374,0.6939630508422852,1024.0,626.8695449000006,0
4,0.000996057350657239,1.7466659007908463,0.35932930065439894,0.6530046882180425,0.3671659571009797,510.38246753246756,1.3673987183090928,1.77152803974847,0.3825836059016486,0.6522001773118973,0.36837212974205613,576.7916666666666,0.33401116728782654,0.06018228456377983,0.12098971725208685,0.5240114926802573,0.3087713640761045,0.3885760665550652,0.40672123432159424,0.1942138671875,0.24113832399420765,3830,3479,8574,0.7128973603248596,4.774003919007185,0.3082952318745918,0.46701502286087526,0.25,1426,23,0.016129032258064516,1858,426,0.22927879440258342,6116,2458,0.40189666448659256,3004,923,0.30725699067909457,32.0453924705986,0.6942777633666992,1024.0,635.6442468000023,0
5,0.0009938441702975688,1.6992674893373019,0.34482383341951806,0.6500549810273307,0.35219433752747326,510.2577922077922,1.315083227258224,1.7236190866678953,0.3610402165601651,0.6475991318002343,0.35748987225815654,576.7916666666666,0.39200305938720703,0.07232631742954254,0.1437876942445655,0.6890037780870949,0.2793453724604966,0.39752194114610223,0.46114033460617065,0.202880859375,0.24806701030927836,3465,1564,8939,0.7191062569618225,3.2847811887655127,0.34552580013063355,0.4559111691704768,0.25,1426,27,0.018934081346423562,1858,387,0.20828848223896662,6116,2221,0.3631458469587966,3004,830,0.2762982689747004,31.970710706685548,0.6976327896118164,1024.0,629.6726116999998,0
6,0.0009911436253643444,1.6592756703302458,0.33084802315993744,0.6479163011560193,0.3402556727749187,510.4487012987013,1.2526728095172288,1.6971078421920538,0.35808131207401556,0.6456501151745518,0.346688208480676,576.7916666666666,0.39769241213798523,0.08715194463729858,0.15337847047921968,0.5368456152050683,0.3893905191873589,0.4513807765992243,0.4569259583950043,0.2303466796875,0.29147305533763807,4830,4167,7574,0.7223066687583923,5.876551273677335,0.20052253429131286,0.32593076420640105,0.25,1426,44,0.030855539971949508,1858,461,0.24811625403659848,6116,3001,0.4906801831262263,3004,1324,0.440745672436751,31.880047641168666,0.6976327896118164,1024.0,627.6525978999998,0
7,0.0009879583809693736,1.6266447532486605,0.32068801807699265,0.6460580368707707,0.329949349435893,510.13831168831166,1.2142417991316163,1.6814713807155688,0.3502645195306589,0.6439600102603436,0.34362342511303723,576.7916666666666,0.4663171172142029,0.11028052121400833,0.18811546568394988,0.7855078049720563,0.3286036762334731,0.4633661115216279,0.5074641704559326,0.2034912109375,0.3015462010801213,4076,1113,8328,0.7389289736747742,3.3892880470280864,0.29327237099934683,0.36185499673416066,0.25,1426,14,0.009817671809256662,1858,355,0.19106566200215286,6116,2529,0.41350555918901244,3004,1178,0.39214380825565914,31.70756979882385,0.6976327896118164,1024.0,631.5450418,0
8,0.0009842915805643154,1.5997839304533872,0.3122224674886697,0.6446315955806088,0.32146493419037236,510.40584415584414,1.1921610705264203,1.6522468148420255,0.3342942436380933,0.6434828468287984,0.3372348645546784,576.7916666666666,0.46275243163108826,0.10914933681488037,0.1867276570672402,0.6697087639243055,0.40228958400515963,0.5026441702341979,0.5107014179229736,0.228515625,0.3356878573831147,4990,2461,7414,0.7312919497489929,4.8667537557152185,0.1698236446766819,0.2651861528412802,0.25,1426,57,0.03997194950911641,1858,444,0.23896663078579117,6116,2951,0.4825049051667757,3004,1538,0.5119840213049268,32.90471373365587,0.6976327896118164,1024.0,598.498960900004,0
9,0.0009801468428384714,1.578696466421152,0.30530552947288986,0.6435526251018822,0.3149191546943281,510.3461038961039,1.160355553805054,1.6387454743186634,0.332075828841577,0.6437452078486482,0.33146222300517064,576.7916666666666,0.49394211173057556,0.1455525904893875,0.21013993956003105,0.7006136571353963,0.4326023863269913,0.5349150176942631,0.546440601348877,0.2274169921875,0.36510852554943185,5366,2293,7038,0.7454831004142761,5.002612671456564,0.10189418680600915,0.20574787720444154,0.25,1426,29,0.020336605890603085,1858,423,0.22766415500538212,6116,3163,0.5171680837148463,3004,1751,0.5828894806924101,33.33346145155585,0.6976327896118164,1024.0,593.0361430999983,0
10,0.0009755282581475767,1.5611826670634281,0.2999832159803285,0.6426814474842765,0.30925900156234765,510.4214285714286,1.1352081307536597,1.6369209978729486,0.33901464007794857,0.642290466154615,0.32780794450081885,576.7916666666666,0.502604067325592,0.15660470724105835,0.21668419342386186,0.8340888485947416,0.29667849080941633,0.43767840152235965,0.549324631690979,0.1824951171875,0.2801461632155907,3680,732,8724,0.7600035667419434,2.881776616590464,0.2521227955584585,0.33311561071195295,0.25,1426,16,0.011220196353436185,1858,268,0.1442411194833154,6116,2250,0.36788750817527793,3004,1146,0.381491344873502,33.43670334584918,0.6976327896118164,1024.0,590.4716923000015,0
