archive,experiment,parameters,common_epoch,common_map50_95,common_precision,common_recall,common_f1,common_tiny_recall,common_small_recall,best_map_through_common,best_map_through_common_epoch
results.4,school2_lightweight_100e,323546,48,0.2471947323938366,0.5305767631718195,0.5658658497258948,0.5476534155190573,0.0688073394495412,0.5151213027583915,0.2524780012739939,37
results.1,school1_low_lr_100e,345018,48,0.2219613165478222,0.6691683070866141,0.4384875846501129,0.5298071303331385,0.0440366972477064,0.3509471585244267,0.2258815272100037,35
results.2,home_baseline_100e,345018,48,0.2147256557422224,0.6938691537512001,0.4078523057078362,0.5137344503681137,0.0711009174311926,0.3339980059820538,0.2392924445623066,37
results.3,school5_center_radius_100e,345018,48,0.2004203922464512,0.7057733868477926,0.3685907771686553,0.4842707340324119,0.0169724770642201,0.2203389830508474,0.2143959100227221,37
results.5,school3_capacity_100e,440994,48,0.1861110815778374,0.6505668582077963,0.3377136407610448,0.4446213447964761,0.0082568807339449,0.0977068793619142,0.2129264224611688,18
results.6,school4_box_weight_100e,345018,48,0.1831284433341352,0.6394322312619006,0.2978071589809739,0.4063582861228755,0.0178899082568807,0.071119973413094,0.2111696654930711,18
