archive,experiment,setting_learning_rate,setting_fpn_channels,setting_backbone_expansion,setting_box_loss_weight,setting_center_radius,parameters,torch_version,started_at,last_completed_at,best_checkpoint_at,last_checkpoint_at,last_epoch,completion_percent,history_rows,contiguous_epochs,duplicate_epochs,best_map50_95,best_map_epoch,best_map_ap50,best_map_ap75,best_map_precision_at_025,best_map_recall_at_025,best_map_f1_at_025,best_map_threshold_tuned_f1,best_map_tuned_threshold,best_map_tiny_recall,best_map_small_recall,best_map_medium_recall,best_map_large_recall,best_fixed_f1,best_fixed_f1_epoch,best_threshold_tuned_f1,best_threshold_tuned_f1_epoch,best_threshold,min_valid_loss,min_valid_loss_epoch,last_train_loss,last_valid_loss,last_map50_95,last_f1_at_025,map_slope_last10,train_loss_slope_last10,valid_loss_slope_last10,mean_epoch_seconds,total_recorded_hours,wall_elapsed_hours,unaccounted_minutes,mean_train_images_per_second,peak_vram_gib,warning_epochs,warning_epoch_percent,warning_epoch_list,nonfinite_columns,final_amp_scale,common_epoch,common_map50_95,common_precision,common_recall,common_f1,common_tiny_recall,common_small_recall,best_map_through_common,best_map_through_common_epoch
results.4,school2_lightweight_100e,0.001,48,2.0,2.0,1.5,323546,2.3.1,2026-08-12 10:27:32,2026-08-12 17:21:50,2026-08-12 15:49:20,2026-08-12 17:21:50,48,48.0,48,True,0,0.2524780012739939,37,0.5530336499214172,0.1932457685470581,0.5856550088915234,0.5575620767494357,0.5712633709164499,0.5855541229248047,0.28271484375,0.0729357798165137,0.5294117647058824,0.6902639398706519,0.8132530120481928,0.5829860481971372,22,0.5855541229248047,37,0.28271484375,1.603257176776727,22,1.352886132218621,1.672485128045082,0.2471947323938366,0.5476534155190573,0.00047957843124591363,-0.0036572476049804084,0.0024214777681562136,517.9776043020878,6.9063680573611705,6.905,-0.08208344167021764,40.28100129831113,0.3596968650817871,10,20.833333333333336,"19,20,25,30,33,35,38,39,45,47","{""train_gradient_norm"": 10}",65536.0,48,0.2471947323938366,0.5305767631718195,0.5658658497258948,0.5476534155190573,0.0688073394495412,0.5151213027583915,0.2524780012739939,37
results.2,home_baseline_100e,0.001,64,2.0,2.0,1.5,345018,2.5.1+cu121,2026-08-12 10:43:36,2026-08-12 23:47:36,2026-08-12 16:57:30,2026-08-12 23:47:36,80,80.0,80,True,0,0.2392924445623066,37,0.5147508382797241,0.1921456605195999,0.750218467812409,0.4152692679780715,0.5346133886870783,0.5636627674102783,0.207275390625,0.0669724770642201,0.3376537055500166,0.4993882188428596,0.7576974564926372,0.5544788466083669,17,0.5636627674102783,37,0.207275390625,1.5883024012049038,37,1.260287699800033,1.657110122963786,0.2096155290841125,0.5227341162300512,-0.0001306102883818655,-0.001663239662546946,0.0016174271778024185,587.9443151537562,13.065429225639026,13.066666666666666,0.07424646165844706,36.47605815502677,0.4258508682250976,24,30.0,"19,21,24,27,29,32,35,37,40,43,45,48,51,53,56,58,61,64,67,69,72,75,77,80","{""train_gradient_norm"": 24}",65536.0,48,0.2147256557422224,0.6938691537512001,0.4078523057078362,0.5137344503681137,0.0711009174311926,0.3339980059820538,0.2392924445623066,37
results.1,school1_low_lr_100e,0.0005,64,2.0,2.0,1.5,345018,2.3.1,2026-08-12 10:25:40,2026-08-13 00:01:26,2026-08-12 19:01:14,2026-08-13 00:01:26,93,93.0,93,True,0,0.2298674395889975,59,0.5040661692619324,0.1796459704637527,0.7392344497607656,0.3985811028700419,0.5179132620993085,0.5508856773376465,0.2001953125,0.0380733944954128,0.3339980059820538,0.5051564411816116,0.6465863453815262,0.5372293952043492,37,0.5508856773376465,59,0.2001953125,1.6289491653442385,38,1.3040505539674263,1.669120481858651,0.2166908397572115,0.5075461741424803,-0.0002752710294832159,-0.0004585144044563804,0.0004458806656226042,526.1790862376326,13.592959727805509,13.596111111111112,0.1890829983361897,39.87053650348724,0.4258508682250976,21,22.58064516129032,"18,23,27,32,33,35,40,43,46,51,56,58,64,68,71,74,79,83,86,91,93","{""train_gradient_norm"": 21}",65536.0,48,0.2219613165478222,0.6691683070866141,0.4384875846501129,0.5298071303331385,0.0440366972477064,0.3509471585244267,0.2258815272100037,35
results.3,school5_center_radius_100e,0.001,64,2.0,2.0,2.0,345018,2.3.1,2026-08-12 10:30:12,2026-08-12 23:46:28,2026-08-12 16:44:52,2026-08-12 23:46:30,78,78.0,78,True,0,0.2143959100227221,37,0.502658486366272,0.147969052195549,0.7492850333651097,0.3801999355046759,0.5044389774307413,0.5482098460197449,0.2015380859375,0.0142201834862385,0.2495845795945497,0.4801608110470197,0.7945113788487282,0.5116707616707618,10,0.5564416646957397,24,0.1710205078125,1.5998630231867237,21,1.2609679256553774,1.6775517395387094,0.1888785500690573,0.4544400905127214,-0.0007122094956029149,-0.0015873219496807128,0.0018697348131676234,612.4100660564055,13.268884764555454,13.27111111111111,0.13358079333944062,32.90805074065808,0.4248404502868652,23,29.48717948717949,"16,21,24,27,29,32,35,37,40,42,45,48,50,53,56,59,61,64,67,70,72,75,78","{""train_gradient_norm"": 23}",65536.0,48,0.2004203922464512,0.7057733868477926,0.3685907771686553,0.4842707340324119,0.0169724770642201,0.2203389830508474,0.2143959100227221,37
results.5,school3_capacity_100e,0.001,80,2.5,2.0,1.5,440994,2.3.1,2026-08-12 10:28:46,2026-08-13 00:01:30,2026-08-12 13:29:32,2026-08-13 00:01:30,83,83.0,83,True,0,0.2129264224611688,18,0.4849330484867096,0.1564034223556518,0.8001274426508072,0.3036923573040954,0.4402758298270219,0.5296787023544312,0.1795654296875,0.0055045871559633,0.1219674310402127,0.424401328439084,0.642570281124498,0.507887090078871,17,0.5327359437942505,17,0.211669921875,1.5774204805493357,21,1.199082458290187,1.6674176324158907,0.1821769009809941,0.43663631494376,5.0809846795871515e-05,-0.0015483221103242972,0.000818398760424791,587.4775246373569,13.544620706916838,13.545555555555556,0.05609091832305069,34.9946795661331,0.5315213203430176,23,27.710843373493976,"19,21,24,27,29,32,35,37,40,43,45,48,50,53,56,61,64,67,70,72,74,79,82","{""train_gradient_norm"": 23}",65536.0,48,0.1861110815778374,0.6505668582077963,0.3377136407610448,0.4446213447964761,0.0082568807339449,0.0977068793619142,0.2129264224611688,18
results.6,school4_box_weight_100e,0.001,64,2.0,3.0,1.5,345018,2.3.1,2026-08-12 10:29:42,2026-08-13 00:15:28,2026-08-12 13:13:30,2026-08-13 00:15:28,90,90.0,90,True,0,0.2111696654930711,18,0.4738949835300445,0.1564188599586486,0.8058007566204287,0.2575782005804579,0.3903720447186755,0.5283633470535278,0.1597900390625,0.0013761467889908,0.0864074443336656,0.3293130571578395,0.7014725568942436,0.441363685402956,9,0.5283633470535278,18,0.1597900390625,1.9114738460630176,28,1.4672355376280748,2.0064340314517417,0.1792812011670321,0.4050916839567094,-9.954114100598639e-05,-0.0012902849919680136,0.0002970027991317274,550.503652137774,13.762591303444351,13.762777777777778,0.011188460005620016,39.6215737565314,0.4258508682250976,24,26.666666666666668,"17,20,23,26,29,31,34,37,40,43,45,48,51,54,59,61,65,69,74,77,78,83,88,90","{""train_gradient_norm"": 24}",32768.0,48,0.1831284433341352,0.6394322312619006,0.2978071589809739,0.4063582861228755,0.0178899082568807,0.071119973413094,0.2111696654930711,18
