experiment,epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
school1_low_lr_100e,31,0.000390520844463,1.453523834804436,0.2502307011032259,0.6398368549424333,0.2817281393261699,458.8415584415585,1.4554613258157458,1.6406749077141285,0.3240054406536122,0.6463915004084507,0.3351389865856617,522.859375,0.4680326879024505,0.1452042013406753,0.2034569935756735,0.6823917407513622,0.3836665591744598,0.4911755599133037,0.5234300494194031,0.19873046875,0.3255352623298447,4759,2215,7645,0.750708818435669,4.5551926845199215,0.1143043762246897,0.217504898758981,0.25,2180,73,0.03348623853211,3009,874,0.2904619474908607,5721,2903,0.5074287711938472,1494,909,0.608433734939759,40.8501191048652,0.4258508682250976,65536.0,511.45831409981474,0
school1_low_lr_100e,32,0.0003839566987447,1.4493911709104266,0.2486771023312172,0.6396649857233097,0.2805245410505827,459.07207792207794,inf,1.6375943658252556,0.322249088048314,0.6468966202810407,0.334224328553925,522.859375,0.4792613089084625,0.1569358110427856,0.211043754601269,0.6951514289776767,0.3941470493389229,0.5030611719915625,0.5290931463241577,0.2000732421875,0.3360599395105856,4889,2144,7515,0.7541631460189819,4.593729588504246,0.1208360548661005,0.2207707380796864,0.25,2180,98,0.0449541284403669,3009,912,0.3030907278165503,5721,2981,0.521062751267261,1494,898,0.6010709504685409,41.04215105289455,0.4248404502868652,65536.0,510.84543749992736,2
school1_low_lr_100e,33,0.0003772603539375,1.4424550763972397,0.2465693631003816,0.6391886131717013,0.2783485495134608,459.1149350649351,inf,1.6355321127921345,0.3244771320217599,0.6455772730211417,0.3327388553880155,522.859375,0.4776023924350738,0.1584785878658294,0.2123622875486034,0.6600433065851484,0.4177684617865205,0.5116761293507776,0.5245433449745178,0.2127685546875,0.3437935381145094,5182,2669,7222,0.752483606338501,5.128020901371652,0.0888308295231874,0.1822338340953625,0.25,2180,76,0.0348623853211009,3009,939,0.3120638085742772,5721,3199,0.5591679776262891,1494,968,0.6479250334672021,40.938060186351,0.4067058563232422,32768.0,511.21716620004736,2
school1_low_lr_100e,34,0.0003704384185254,1.4371903085089348,0.2452206748840096,0.638896381971124,0.2765366258269006,459.1077922077922,1.4605742574125142,1.6298717216898997,0.3184574713620047,0.6458725140740474,0.3327708697567383,522.859375,0.4891207218170166,0.1603698134422302,0.2167342851811554,0.6877318494965554,0.4184940341825218,0.5203488372093024,0.536104142665863,0.2086181640625,0.3516699410609037,5191,2357,7213,0.751542329788208,4.930111038536904,0.0979751796211626,0.1828870019595035,0.25,2180,102,0.046788990825688,3009,977,0.3246925888999667,5721,3140,0.5488550952630659,1494,972,0.6506024096385542,41.72817600572333,0.4248404502868652,32768.0,507.990567999892,0
school1_low_lr_100e,35,0.0003634976249348,1.4345685762244385,0.2444110210549522,0.6386026844962851,0.2757774361639054,459.06233766233765,inf,1.6383072137832642,0.3290698770433664,0.6464272768547138,0.3314050317276269,522.859375,0.4978270530700683,0.1748611032962799,0.2258815272100037,0.6578854521933435,0.4509835536923573,0.53513177404697,0.5441827178001404,0.2252197265625,0.3653105204728009,5594,2909,6810,0.7539805173873901,5.55388634879164,0.0783801436969301,0.1685173089483997,0.25,2180,114,0.0522935779816513,3009,1116,0.3708873379860419,5721,3356,0.5866107323894424,1494,1008,0.6746987951807228,41.16463421423445,0.4069209098815918,32768.0,510.9188420998398,2
school1_low_lr_100e,36,0.0003564448228912,1.4303274114410598,0.2431664035933745,0.6386145676111246,0.2742732204787143,459.0538961038961,1.4478499898275772,1.6420438929150505,0.3325024211468796,0.645652063190937,0.3319447017274797,522.859375,0.4920581877231598,0.1679054796695709,0.2208869391353801,0.6472011057360055,0.4529990325701387,0.5329602579910843,0.5379303693771362,0.237060546875,0.3632895842762009,5619,3063,6785,0.7516782879829407,5.670803396472894,0.0796864794252122,0.1678641410842586,0.25,2180,91,0.041743119266055,3009,1109,0.3685609837155201,5721,3414,0.5967488201363398,1494,1005,0.6726907630522089,41.26650973354706,0.4078154563903808,32768.0,507.5849536999594,0
school1_low_lr_100e,37,0.0003492869726586,1.425258195400238,0.241408819482698,0.638125165561577,0.2728621044329234,459.1051948051948,1.4555450329145827,1.630450388416648,0.3229961612572272,0.6458271685987711,0.3308135288146634,522.859375,0.5002727508544922,0.1712863147258758,0.2256123362574726,0.675042693339839,0.446146404385682,0.5372293952043492,0.5484926104545593,0.2205810546875,0.3672683833289089,5534,2664,6870,0.755366861820221,5.354670150228609,0.077726975832789,0.1613324624428478,0.25,2180,102,0.046788990825688,3009,1101,0.3659022931206381,5721,3307,0.5780457961894774,1494,1024,0.6854082998661312,40.95353828193853,0.4069423675537109,32768.0,509.8768637001049,0
school1_low_lr_100e,38,0.0003420311381711,1.418765106139245,0.2396080697608458,0.6378720221194354,0.2706425073278414,459.1,1.469513708623973,1.6289491653442385,0.3169872900471091,0.6465768553316593,0.3326925102155655,522.859375,0.4864020347595215,0.1633881479501724,0.2163266315357759,0.7087662812820138,0.3904385682038052,0.5035088631283464,0.5307550430297852,0.20751953125,0.3364596359594275,4843,1990,7561,0.7580929398536682,4.463096015676029,0.1123448726322664,0.2044415414761593,0.25,2180,52,0.0238532110091743,3009,900,0.2991026919242273,5721,2971,0.5193148051040027,1494,920,0.6157965194109772,41.79887307268638,0.4065084457397461,65536.0,504.8942766999826,0
school1_low_lr_100e,39,0.0003346844800613,1.4158691194150357,0.2385588750146426,0.6377485361579177,0.2697808536616238,458.9993506493507,1.4703006851208675,1.633015167588989,0.3223229341674596,0.646378755569458,0.3321567398961633,522.859375,0.4805583357810974,0.1609312146902084,0.2125989503692835,0.7084821428571428,0.3838277974846824,0.4979083873666596,0.5310508012771606,0.2015380859375,0.331476710993525,4761,1959,7643,0.7575892210006714,4.389288047028086,0.1254082299150881,0.2129327237099934,0.25,2180,69,0.0316513761467889,3009,872,0.2897972748421402,5721,2929,0.5119734312183185,1494,891,0.5963855421686747,41.27544613625809,0.4248404502868652,65536.0,501.81346799992025,0
school1_low_lr_100e,40,0.0003272542485937,1.4136114869798933,0.2384350627418849,0.6375015465470103,0.2688374392107709,459.0298701298701,inf,1.6294401908914249,0.3203452979214489,0.645970351062715,0.3315622707207997,522.859375,0.4824388325214386,0.1622913479804992,0.2165256167645566,0.6723643006263048,0.4154305062882941,0.5135539166832769,0.5290671586990356,0.21435546875,0.3454911163258464,5153,2511,7251,0.7557070255279541,5.005878510777269,0.0875244937949052,0.1659046374918354,0.25,2180,83,0.0380733944954128,3009,928,0.3084081090063144,5721,3116,0.5446600244712463,1494,1026,0.6867469879518072,41.01823089126422,0.4074225425720215,32768.0,505.7914126000833,2
