id,date,status,source_model,architecture,parameters,input_shape,output_shape,quantization,calibration_images,preprocess,size_bytes,size_mib,size_reduction_vs_family_fp32_pct,ground_truth_evaluation,map50_95,precision,recall,f1,tiny_recall,small_recall,fp32_detection_count_agreement,mean_bbox_iou_vs_fp32,cpu_mean_ms,cpu_p95_ms,pi_mean_ms,pi_p95_ms,pi_sensor_to_result_mean_ms,pi_peak_temperature_c,decision
teacher_code_v2_int8,2026-08-07,legacy_teacher_code,teacher-provided Person Detector v2,DSConv backbone + multi-anchor head,278361,"[1,3,240,320]","[1,5,5,30,40]",Static INT8 QDQ QInt8/QInt8,100,RGB direct resize /255,315625,0.301003,71.7567,no,,,,,,,,,,,,,,,conversion pipeline history only
preliminary_integration_int8,2026-08-12,legacy_integration_test,temporary v4 detector,DSConv + Residual + single 15x20 head,2868677,"[1,3,240,320]","[1,5,15,20]",Static INT8 QDQ QUInt8/QInt8 per-channel MinMax,26,RGB direct resize /255,2953465,2.816644,74.2592,no,,,,,,,0.92,0.949144,2.604108,2.873740,90.634492,95.653309,137.747467,72.549,integration and Raspberry Pi pipeline evidence only
results4_fpn48_qdq_percentile_int8,2026-08-13,current_finalist_a,results.4 epoch 37 best,DSConv + Residual + P2/P3/P4/P5 FPN48 + anchor-free head,323546,"[1,3,240,320]","boxes [1,6380,4] + scores [1,6380]",Static INT8 QDQ QUInt8/QInt8 per-channel Percentile,192,RGB letterbox padding 114 /255,1383926,1.319815,36.2329,grouped Valid 1531 images,0.2172790832,0.5488250653,0.5083843921,0.5278312547,0.0541284404,0.4599534729,,,16.016678,19.661900,,,,,INT8 accuracy-first candidate; Raspberry Pi comparison pending
results4_fpn48_qdq_minmax_int8,2026-08-13,current_finalist_b,results.4 epoch 37 best,DSConv + Residual + P2/P3/P4/P5 FPN48 + anchor-free head,323546,"[1,3,240,320]","boxes [1,6380,4] + scores [1,6380]",Static INT8 QDQ QUInt8/QInt8 per-channel MinMax,192,RGB letterbox padding 114 /255,1383911,1.319800,36.2336,grouped Valid 1531 images,0.2062406557,0.5158449255,0.5052402451,0.5104875168,0.0518348624,0.4449983383,,,18.565141,25.921250,,,,,comparison candidate; lower accuracy than Percentile
