model,frames,mean_detections,total_detections,mean_infer_ms,p95_infer_ms,mean_total_ms,mean_fps_equiv
results20_fp32_320,300,2.1666666666666665,650,5.4642336699180305,7.308839994948357,6.454764330216373,158.51311809544967
results20_int8_percentile_320,300,3.6233333333333335,1087,10.244478668319061,12.348639965057373,11.070445668495571,91.41506656930832
results27_fp32_640,300,1.18,354,21.29813167033717,27.655809919815514,26.136825333427016,38.83354902537556
results27_mixed_q3q4_640,300,1.1766666666666667,353,23.689990003670875,29.752859962172813,28.54562433785759,35.40984254300624
