frame,label,model,input_w,input_h,detections,max_score,pre_ms,infer_ms,post_ms,total_ms,fps_equiv
0,,results20_fp32_320,320,240,2,0.4251723885536194,1.0461999336257577,7.631000014953315,0.2573999809101224,8.934599929489195,111.92442950908621
0,,results20_int8_percentile_320,320,240,3,0.45053723454475403,1.021499978378415,13.165000011213124,0.22639997769147158,14.41289996728301,69.38228963428455
0,,results27_fp32_640,640,480,2,0.2787206470966339,4.15890000294894,24.53659998718649,0.25340006686747074,28.948900057002902,34.543626805540555
0,,results27_mixed_q3q4_640,640,480,2,0.2757602632045746,4.55289997626096,28.206199989654124,0.22629997693002224,32.985399942845106,30.3164430849022
1,,results20_fp32_320,320,240,5,0.41786426305770874,0.5419000517576933,5.505999899469316,0.2677000593394041,6.315600010566413,158.3380832109276
1,,results20_int8_percentile_320,320,240,5,0.4408201277256012,0.5861999234184623,12.888299999758601,0.2618000144138932,13.736299937590957,72.79980813926359
1,,results27_fp32_640,640,480,2,0.23113936185836792,4.259299952536821,32.34330005943775,0.24079997092485428,36.84339998289943,27.141903311424628
1,,results27_mixed_q3q4_640,640,480,2,0.22867774963378906,5.304999998770654,29.26750003825873,0.2941000275313854,34.86660006456077,28.68074312231044
2,,results20_fp32_320,320,240,5,0.41812512278556824,0.6638000486418605,5.925299949012697,0.8025000570341945,7.391600054688752,135.2887050978448
2,,results20_int8_percentile_320,320,240,4,0.398841917514801,0.8802999509498477,12.604400049895048,0.2258999738842249,13.71059997472912,72.93626842320275
2,,results27_fp32_640,640,480,2,0.21452632546424866,5.129599943757057,19.119800068438053,0.24550000671297312,24.494900018908083,40.824824727926256
2,,results27_mixed_q3q4_640,640,480,1,0.21090508997440338,4.468500032089651,24.15459998883307,0.25729998014867306,28.880400001071393,34.6255592014966
3,,results20_fp32_320,320,240,3,0.27672022581100464,0.677799922414124,4.545800038613379,0.23859995417296886,5.462199915200472,183.07641893830214
3,,results20_int8_percentile_320,320,240,7,0.3028964698314667,0.7512000156566501,10.560100083239377,0.2617998979985714,11.573099996894598,86.40727205920015
3,,results27_fp32_640,640,480,1,0.22169478237628937,4.477999988012016,16.849200008437037,0.30970002990216017,21.636900026351213,46.21734161465445
3,,results27_mixed_q3q4_640,640,480,1,0.2186547964811325,3.903999924659729,21.790300030261278,0.23380003403872252,25.92809998895973,38.568194369267445
4,,results20_fp32_320,320,240,2,0.24772073328495026,0.5993000231683254,4.581899964250624,0.20210002548992634,5.383300012908876,185.75966370108512
4,,results20_int8_percentile_320,320,240,4,0.2942432761192322,0.5743000656366348,9.678700007498264,0.20929996389895678,10.462300037033856,95.5812772010224
4,,results27_fp32_640,640,480,3,0.29167163372039795,4.4726000633090734,16.5123000042513,0.25619997177273035,21.241100039333105,47.07854104299
4,,results27_mixed_q3q4_640,640,480,3,0.28832510113716125,4.018799983896315,19.517399952746928,0.2346000401303172,23.77079997677356,42.068420119520574
5,,results20_fp32_320,320,240,3,0.2577279508113861,0.6187999388203025,4.648000001907349,0.2039000391960144,5.4706999799236655,182.79196513605072
5,,results20_int8_percentile_320,320,240,4,0.3159599006175995,0.4230999620631337,10.219400050118566,0.23069989401847124,10.87319990620017,91.9692462777011
5,,results27_fp32_640,640,480,3,0.2835003435611725,4.709000000730157,19.579300074838102,0.3108000382781029,24.59910011384636,40.65189358033139
5,,results27_mixed_q3q4_640,640,480,4,0.28276965022087097,4.827499971725047,21.56200003810227,0.2655999269336462,26.655099936760962,37.516272772283465
6,,results20_fp32_320,320,240,4,0.3206043243408203,0.6176000460982323,4.488199949264526,0.20670006051659584,5.3125000558793545,188.2352921377004
6,,results20_int8_percentile_320,320,240,6,0.309627890586853,0.572799937799573,11.3118999870494,0.24670001585036516,12.131399940699339,82.43071738531381
6,,results27_fp32_640,640,480,2,0.18405921757221222,4.6588999684900045,27.91210007853806,0.25459995958954096,32.825600006617606,30.46402806950676
6,,results27_mixed_q3q4_640,640,480,2,0.18992199003696442,4.656699951738119,20.888600032776594,0.2951000351458788,25.840400019660592,38.699091315891124
7,,results20_fp32_320,320,240,3,0.3342842161655426,0.6060999585315585,7.067200029268861,0.24560000747442245,7.918899995274842,126.28016524980663
7,,results20_int8_percentile_320,320,240,4,0.3040461540222168,0.571400043554604,9.18129994533956,0.2346000401303172,9.987300029024482,100.12716120411532
7,,results27_fp32_640,640,480,0,0.0,4.443799960426986,18.24740006122738,0.08769996929913759,22.778899990953505,43.90027615017159
7,,results27_mixed_q3q4_640,640,480,0,0.0,4.704499966464937,23.100299993529916,0.08340005297213793,27.88820001296699,35.85745941061226
8,,results20_fp32_320,320,240,4,0.32428649067878723,0.6836999673396349,4.641300067305565,0.3591999411582947,5.6841999758034945,175.92625246416392
8,,results20_int8_percentile_320,320,240,6,0.34548527002334595,0.6778000388294458,9.719499968923628,0.23610005155205727,10.633400059305131,94.04329700968175
8,,results27_fp32_640,640,480,1,0.1712213158607483,4.995399969629943,21.190600004047155,0.2001000102609396,26.38609998393804,37.898742163818376
8,,results27_mixed_q3q4_640,640,480,0,0.0,4.218499991111457,20.58959996793419,0.07289997301995754,24.880999932065606,40.19131074837717
9,,results20_fp32_320,320,240,5,0.3413611054420471,0.8148000342771411,5.046600010246038,0.19829999655485153,6.059700041078031,165.0246700696588
9,,results20_int8_percentile_320,320,240,5,0.3337816894054413,0.4149000160396099,11.385699966922402,0.23960007820278406,12.040200061164796,83.0550983305885
9,,results27_fp32_640,640,480,1,0.19081053137779236,4.4914999743923545,25.277300039306283,0.22289995104074478,29.991699964739382,33.3425581469433
9,,results27_mixed_q3q4_640,640,480,2,0.19590483605861664,5.152099998667836,23.798000067472458,0.24749990552663803,29.197599971666932,34.24939039408685
10,,results20_fp32_320,320,240,5,0.38611119985580444,0.6519000744447112,4.527699900791049,0.22250006441026926,5.4021000396460295,185.11319536124782
10,,results20_int8_percentile_320,320,240,6,0.3495233356952667,0.5862999241799116,11.119900038465858,0.2378999488428235,11.944099911488593,83.72334520059871
10,,results27_fp32_640,640,480,3,0.21479462087154388,4.509599995799363,17.259999993257225,0.26220001745969057,22.031800006516278,45.38893779465287
10,,results27_mixed_q3q4_640,640,480,3,0.21165162324905396,5.730000091716647,27.79630001168698,0.22899999748915434,33.75530010089278,29.624977322407254
11,,results20_fp32_320,320,240,4,0.3103529214859009,0.5763000808656216,4.811699967831373,0.2231999533250928,5.611200002022088,178.2149985100573
11,,results20_int8_percentile_320,320,240,7,0.3039986193180084,0.6359999533742666,9.822600055485964,0.2532999496906996,10.71189995855093,93.35412054532263
11,,results27_fp32_640,640,480,2,0.28937315940856934,4.543600021861494,18.956199986860156,0.2799999201670289,23.77979992888868,42.052498464680475
11,,results27_mixed_q3q4_640,640,480,3,0.308887243270874,4.6811000211164355,20.36450000014156,0.23559993132948875,25.281199952587485,39.55508448473198
12,,results20_fp32_320,320,240,4,0.34555554389953613,0.6380999693647027,4.941800027154386,0.20140002015978098,5.78130001667887,172.97147650442483
12,,results20_int8_percentile_320,320,240,8,0.4003354609012604,0.4058999475091696,9.175000013783574,0.24309998843818903,9.823999949730933,101.79153146548914
12,,results27_fp32_640,640,480,2,0.21456356346607208,4.605200025252998,19.132899935357273,0.2535000676289201,23.99160002823919,41.68125505689304
12,,results27_mixed_q3q4_640,640,480,2,0.20747588574886322,4.7339999582618475,20.327200065366924,0.22990000434219837,25.29110002797097,39.53960084353939
13,,results20_fp32_320,320,240,5,0.4262969195842743,0.6607999093830585,4.5374000910669565,0.21049997303634882,5.408699973486364,184.8873120901575
13,,results20_int8_percentile_320,320,240,4,0.37757864594459534,0.6871999939903617,9.486000053584576,0.26430003345012665,10.437500081025064,95.80838248978392
13,,results27_fp32_640,640,480,3,0.22066079080104828,4.769899998791516,22.498000063933432,0.2723999787122011,27.54030004143715,36.3104250315138
13,,results27_mixed_q3q4_640,640,480,3,0.20161567628383636,5.958099965937436,25.37369995843619,0.2672000555321574,31.598999979905784,31.64657111414643
14,,results20_fp32_320,320,240,4,0.45053303241729736,0.9683000389486551,7.444899994879961,0.23870007134974003,8.651900105178356,115.58154715650006
14,,results20_int8_percentile_320,320,240,6,0.433597207069397,0.8000999223440886,9.580000070855021,0.23419992066919804,10.614299913868308,94.21252537752694
14,,results27_fp32_640,640,480,3,0.1869867593050003,4.658799967728555,27.179499971680343,0.2437999937683344,32.08209993317723,31.170029458260764
14,,results27_mixed_q3q4_640,640,480,3,0.18194535374641418,5.055800080299377,22.756999940611422,0.5146000767126679,28.327400097623467,35.30151007694826
15,,results20_fp32_320,320,240,3,0.43512529134750366,1.105200033634901,6.439300021156669,0.20769995171576738,7.752200006507337,128.9956398390885
15,,results20_int8_percentile_320,320,240,3,0.3993877172470093,0.6135000148788095,8.857999928295612,0.20420004148036242,9.675699984654784,103.35169564847547
15,,results27_fp32_640,640,480,2,0.2304631918668747,4.626099951565266,17.225799965672195,0.2586999908089638,22.110599908046424,45.227176293669125
15,,results27_mixed_q3q4_640,640,480,2,0.23348534107208252,4.8299001064151525,25.294699938967824,0.28410006780177355,30.40870011318475,32.88532545876288
