experiment,label,map50_95,precision_at_025,recall_at_025,f1_at_025,best_f1,best_f1_threshold,tiny_recall,small_recall,valid_total
r2_school6_fpn48_exp250,S6 FPN48 exp2.5 LR0.001,0.2277294456260278,0.7594132029339853,0.3756046436633344,0.5026161065861158,0.5496703386306763,0.173828125,0.0206422018348623,0.1794616151545364,1.622261789937814
r2_home_fpn48_lr0750_seed2_100e,Home FPN48 LR0.00075 seed2 (partial),0.2206409914942924,0.7641218760698391,0.3598839084166398,0.4893127260769484,0.5305213332176208,0.189453125,0.0036697247706422,0.1758059155865736,1.621728892127673
r2_school4_fpn40_lr1000,S4 FPN40 LR0.001,0.2025800354560488,0.7511796733212341,0.3336826830054821,0.462096684157642,0.5238180756568909,0.1861572265625,0.010091743119266,0.1728148886673313,1.6429829690605402
r2_school2_fpn48_lr0750,S2 FPN48 LR0.00075,0.1943282423802884,0.7412630288166769,0.2924056755885198,0.4193790830779904,0.5024980306625366,0.1656494140625,0.0013761467889908,0.1169823861748089,1.6572457340856392
r2_school3_fpn48_lr0500,S3 FPN48 LR0.0005,0.1816699953953502,0.7098874032371569,0.3252982908739116,0.4461521450685537,0.4927781820297241,0.183349609375,0.0009174311926605,0.1498836822864739,1.7040934016307194
r2_school1_fpn48_lr1000_seed2,S1 FPN48 LR0.001 seed2,0.1597098797210492,0.6534800084620267,0.2490325701386649,0.3606327709999416,0.4401446282863617,0.1419677734375,0.0220183486238532,0.0983715520106347,1.6855459591994684
r2_school5_fpn56_lr1000,S5 FPN56 LR0.001,0.1557641826948383,0.5228044638524988,0.3474685585295066,0.4174738473459898,0.444811999797821,0.187255859375,0.0064220183486238,0.0963775340644732,1.733428825934728
