experiment,label,archive,cutoff,planned_epochs,last_epoch,best_epoch,map50_95,ap50,ap75,precision_at_025,recall_at_025,f1_at_025,best_f1_at_map_epoch,best_f1_threshold_at_map_epoch,tiny_recall,small_recall,medium_recall,large_recall,valid_total,train_total,generalization_gap,peak_f1_any_epoch,peak_f1_epoch,peak_f1_threshold,last_map50_95,last_f1_at_025,last_valid_total,last10_map_mean,last10_map_std,map_drop_best_to_last,warning_count_sum,nonfinite_gradient_epochs,max_finite_gradient_norm,median_images_per_second,peak_vram_gib,total_hours,attempts,return_codes,runner_completed,best_exists,last_exists,checkpoint_bytes,seed,learning_rate,fpn_channels,backbone_expansion,amp_initial_scale,amp_growth_interval,torch_version,cuda_build,gpu_name
school2_lightweight_100e,school2_lightweight_100e,results.13.zip,48,100,48,37,0.2524780012739939,0.5530336499214172,0.1932457685470581,0.5856550088915234,0.5575620767494357,0.5712633709164499,0.5855541229248047,0.28271484375,0.0729357798165137,0.5294117647058824,0.6902639398706519,0.8132530120481928,1.6334231104701755,1.3940441943608322,0.23937891610934336,0.5855541229248047,37,0.28271484375,0.2471947323938366,0.5476534155190573,1.672485128045082,0.24615823964166336,0.0031339903981097094,0.005283268880157288,20,10,4.593221729529368,41.18694113472044,0.3596968650817871,6.9063680573611705,0,,False,True,True,4168168,20260811,0.001,48,2.0,1024.0,4000,2.3.1,12.1,NVIDIA GeForce MX570 A
home_baseline_100e,home_baseline_100e,results.9.zip,80,100,80,37,0.2392924445623066,0.5147508382797241,0.1921456605195999,0.750218467812409,0.4152692679780715,0.5346133886870783,0.5636627674102783,0.207275390625,0.0669724770642201,0.3376537055500166,0.4993882188428596,0.7576974564926372,1.5883024012049038,1.381510638106953,0.20679176309795078,0.5636627674102783,37,0.207275390625,0.2096155290841125,0.5227341162300512,1.657110122963786,0.20746228591044197,0.001957324609189989,0.02967691547819412,48,24,3.8686785328310807,37.666681271941385,0.4258508682250976,13.065429225639026,0,,False,True,True,4428392,20260811,0.001,64,2.0,1024.0,4000,2.5.1+cu121,12.1,NVIDIA GeForce MX570 A
school1_low_lr_100e,school1_low_lr_100e,results.8.zip,93,100,93,59,0.2298674395889975,0.5040661692619324,0.1796459704637527,0.7392344497607656,0.3985811028700419,0.5179132620993085,0.5508856773376465,0.2001953125,0.0380733944954128,0.3339980059820538,0.5051564411816116,0.6465863453815262,1.6427455469965937,1.3521031363443894,0.2906424106522043,0.5508856773376465,59,0.2001953125,0.2166908397572115,0.5075461741424803,1.669120481858651,0.2181748095489456,0.0019246968646475847,0.013176599831785984,42,21,6.15104130026582,40.32037077098171,0.4258508682250976,13.592959727805509,0,,False,True,True,4428392,20260811,0.0005,64,2.0,1024.0,4000,2.3.1,12.1,NVIDIA GeForce MX570 A
school5_center_radius_100e,school5_center_radius_100e,results.10.zip,78,100,78,37,0.2143959100227221,0.502658486366272,0.147969052195549,0.7492850333651097,0.3801999355046759,0.5044389774307413,0.5482098460197449,0.2015380859375,0.0142201834862385,0.2495845795945497,0.4801608110470197,0.7945113788487282,1.6107574570924044,1.3775422446913534,0.23321521240105092,0.5564416646957397,24,0.1710205078125,0.1888785500690573,0.4544400905127214,1.6775517395387094,0.19105967082490677,0.002831727408966631,0.025517359953664803,44,23,3.2734298606971644,33.1008114022986,0.4248404502868652,13.268884764555454,0,,False,True,True,4428392,20260811,0.001,64,2.0,1024.0,4000,2.3.1,12.1,NVIDIA GeForce MX570 A
school3_capacity_100e,school3_capacity_100e,results.12.zip,83,100,83,18,0.2129264224611688,0.4849330484867096,0.1564034223556518,0.8001274426508072,0.3036923573040954,0.4402758298270219,0.5296787023544312,0.1795654296875,0.0055045871559633,0.1219674310402127,0.424401328439084,0.642570281124498,1.589188465848565,1.4539905284906365,0.13519793735792862,0.5327359437942505,17,0.211669921875,0.1821769009809941,0.43663631494376,1.6674176324158907,0.1820592703536385,0.001970622341180937,0.030749521480174707,46,23,3.7163116565772474,34.851614986770606,0.5315213203430176,13.544620706916838,0,,False,True,True,5583656,20260811,0.001,80,2.5,1024.0,4000,2.3.1,12.1,NVIDIA GeForce MX570 A
school4_box_weight_100e,school4_box_weight_100e,results.11.zip,90,100,90,18,0.2111696654930711,0.4738949835300445,0.1564188599586486,0.8058007566204287,0.2575782005804579,0.3903720447186755,0.5283633470535278,0.1597900390625,0.0013761467889908,0.0864074443336656,0.3293130571578395,0.7014725568942436,1.93252775259316,1.781231455369429,0.15129629722373084,0.5283633470535278,18,0.1597900390625,0.1792812011670321,0.4050916839567094,2.0064340314517417,0.17879713349306253,0.0021725592480983055,0.03188846432603898,48,24,4.344718156851731,39.83447109604673,0.4258508682250976,13.762591303444351,0,,False,True,True,4428392,20260811,0.001,64,2.0,1024.0,4000,2.3.1,12.1,NVIDIA GeForce MX570 A
