run,epochs_recorded,best_epoch,best_map50_95,ap50,ap75,precision,recall,f1,input_width,input_height,seed
results25/d2_kaggle_kitti,27,17,0.20134685676021036,0.4625447392463684,0.14649102091789246,0.7831491712707183,0.2742663656884876,0.4062574635777407,320,240,20260811
results25/r25_q150_seed11,20,18,0.21579578306773328,0.49487704038619995,0.15945500135421753,0.7755281690140845,0.3551273782650758,0.4871709798717098,320,240,20260811
results26/stage1_640_seed14,200,29,0.2773402525577694,0.5751046538352966,0.23222646117210388,0.874933190807055,0.263947113834247,0.40554936207110115,640,480,20260814
results26/stage2_320_seed14,200,29,0.20085118042770772,0.45515337586402893,0.14928331971168518,0.8796477495107632,0.14495324089003547,0.2488925802879291,320,240,20260814
results27/stage1_640_seed11,200,52,0.2880503188818693,0.5794216394424438,0.2535291016101837,0.828926632813868,0.3816510802966785,0.5226607783604748,640,480,20260811
results27/stage2_320_seed11,200,24,0.2316693184315227,0.5011211037635803,0.1826271414756775,0.7786485545106234,0.3604482425024186,0.4927807781329218,320,240,20260811
results28/stage1_480_seed11,200,30,0.24406881292816252,0.5405287146568298,0.18660041689872742,0.8133055344958302,0.3459367945823928,0.4854072398190045,480,360,20260811
results28/stage2_320_seed11,200,12,0.20146308140829206,0.469784677028656,0.13378214836120605,0.8367808661926309,0.20872299258303773,0.3341076267905536,320,240,20260811
results29/320_seed11,200,47,0.24861452970653772,0.5416295528411865,0.19334827363491058,0.5992926613616268,0.5464366333440825,0.5716454415113434,320,240,20260811
results30/320_seed14,200,38,0.25240723392926157,0.5299991369247437,0.21105390787124634,0.8806251684182161,0.2634633989035795,0.40558485882717965,320,240,20260814
results31/320_seed15,200,24,0.24361496806377544,0.5226562023162842,0.1968204230070114,0.8150526128054217,0.36842953885843277,0.5074676586530453,320,240,20260815
