model,threshold,size_mb,mean_ms,p95_ms,ref,cand,match,miss,extra,retain_pct,mean_iou,score_mae,score_max,box_mae,box_max
results27_640_fp32,0.1,1.3276700973510742,18.904275001841597,20.62657503702212,1291,1291,1291,0,0,100.0,1.0000000005278709,0.0,0.0,0.0,0.0
results27_640_fp32,0.15,1.3276700973510742,18.904275001841597,20.62657503702212,655,655,655,0,0,100.0,1.000000001485704,0.0,0.0,0.0,0.0
results27_640_fp32,0.17,1.3276700973510742,18.904275001841597,20.62657503702212,556,556,556,0,0,100.0,1.0000000011528172,0.0,0.0,0.0,0.0
results27_640_fp32,0.2,1.3276700973510742,18.904275001841597,20.62657503702212,436,436,436,0,0,100.0,1.000000000372468,0.0,0.0,0.0,0.0
results27_640_fp32,0.25,1.3276700973510742,18.904275001841597,20.62657503702212,287,287,287,0,0,100.0,1.0000000001614215,0.0,0.0,0.0,0.0
results27_640_fp32,0.3,1.3276700973510742,18.904275001841597,20.62657503702212,201,201,201,0,0,100.0,0.9999999995801746,0.0,0.0,0.0,0.0
results27_640_int8_round3_backbone_fpn,0.1,0.6495914459228516,41.04728999591316,43.62772996246349,1291,1291,992,299,299,76.83965917893106,0.8410647090535651,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_fpn,0.15,0.6495914459228516,41.04728999591316,43.62772996246349,655,633,524,131,109,80.0,0.862373867439578,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_fpn,0.17,0.6495914459228516,41.04728999591316,43.62772996246349,556,517,443,113,74,79.67625899280576,0.8657948647566475,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_fpn,0.2,0.6495914459228516,41.04728999591316,43.62772996246349,436,385,341,95,44,78.21100917431193,0.8771077565675741,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_fpn,0.25,0.6495914459228516,41.04728999591316,43.62772996246349,287,261,224,63,37,78.04878048780488,0.8909549955058941,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_fpn,0.3,0.6495914459228516,41.04728999591316,43.62772996246349,201,160,139,62,21,69.1542288557214,0.9022326484068993,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_backbone_only,0.1,0.696044921875,36.9329362467397,39.18460004206281,1291,1290,990,301,300,76.68474051123161,0.8412213366787086,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_backbone_only,0.15,0.696044921875,36.9329362467397,39.18460004206281,655,632,524,131,108,80.0,0.8629073039941181,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_backbone_only,0.17,0.696044921875,36.9329362467397,39.18460004206281,556,518,445,111,73,80.03597122302158,0.8675261388347262,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_backbone_only,0.2,0.696044921875,36.9329362467397,39.18460004206281,436,383,338,98,45,77.5229357798165,0.8792452316135997,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_backbone_only,0.25,0.696044921875,36.9329362467397,39.18460004206281,287,261,224,63,37,78.04878048780488,0.8926764420564381,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_backbone_only,0.3,0.696044921875,36.9329362467397,39.18460004206281,201,163,140,61,23,69.65174129353234,0.9064887087274623,0.0027359411789802833,0.3800830543041229,2.3814065530896187,170.6430206298828
results27_640_int8_round3_no_head,0.1,0.6495914459228516,42.516721248830436,47.544834978180006,1291,1291,992,299,299,76.83965917893106,0.8410647090535651,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_no_head,0.15,0.6495914459228516,42.516721248830436,47.544834978180006,655,633,524,131,109,80.0,0.862373867439578,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_no_head,0.17,0.6495914459228516,42.516721248830436,47.544834978180006,556,517,443,113,74,79.67625899280576,0.8657948647566475,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_no_head,0.2,0.6495914459228516,42.516721248830436,47.544834978180006,436,385,341,95,44,78.21100917431193,0.8771077565675741,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_no_head,0.25,0.6495914459228516,42.516721248830436,47.544834978180006,287,261,224,63,37,78.04878048780488,0.8909549955058941,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
results27_640_int8_round3_no_head,0.3,0.6495914459228516,42.516721248830436,47.544834978180006,201,160,139,62,21,69.1542288557214,0.9022326484068993,0.0027501991397002714,0.3823826313018799,2.387344038486481,170.3530731201172
