result,experiment,best_epoch,best_map50_95,last_epoch,last_map50_95,precision,recall,f1,tiny_recall,small_recall
results.22,r22_fpn48_wd200_seed11_100e,18,0.2159031067974865,51,0.20110647403053,0.75697350069735,0.3500483714930668,0.4787210584343991,0.005045871559633,0.2163509471585244
results.23,r23_fpn48_384x288_seed11_100e,16,0.2063595510844607,24,0.1701050993404351,0.8734270910436713,0.1902612060625604,0.3124586257116377,0.0,0.0204991087344028
results.24,pcroom_480x360_direct_seed11_100e,25,0.2247729336973861,25,0.2247729336973861,0.6747250090656352,0.4500161238310222,0.5399235865937999,0.0154798761609907,0.233048433048433
