model,frames,mean_detections,total_detections,mean_infer_ms,p95_infer_ms,mean_total_ms,mean_fps_equiv
results20_fp32_320,300,1.1466666666666667,344,5.702838333866869,7.540174957830461,6.647221336994941,155.2516928222499
results20_int8_percentile_320,300,1.23,369,10.752026667275155,14.859749987954274,11.51834799675271,88.7834578095419
results27_fp32_640,300,0.9066666666666666,272,21.176088664215058,27.381034952122718,25.14085799843694,40.38403412001418
results27_mixed_q3q4_640,300,0.9033333333333333,271,24.483564000499126,31.726195034570996,28.459099997999147,35.70208803325192
