frame,label,model,input_w,input_h,detections,max_score,pre_ms,infer_ms,post_ms,total_ms,fps_equiv
0,,results20_fp32_320,320,240,2,0.3247465193271637,0.7755999686196446,6.327099981717765,0.23879995569586754,7.3414999060332775,136.21194753107542
0,,results20_int8_percentile_320,320,240,2,0.31010544300079346,0.8177000563591719,10.227999999187887,0.18939992878586054,11.23509998433292,89.00677353957475
0,,results27_fp32_640,640,480,1,0.22091978788375854,4.560100031085312,25.201400043442845,0.1786999637261033,29.94020003825426,33.3999104455652
0,,results27_mixed_q3q4_640,640,480,1,0.22582556307315826,4.383500083349645,27.286999975331128,0.18370000179857016,31.854200060479343,31.393034453898384
1,,results20_fp32_320,320,240,3,0.3788643777370453,1.4257999137043953,8.179700002074242,0.3864000318571925,9.99189994763583,100.08106618767822
1,,results20_int8_percentile_320,320,240,2,0.398841917514801,1.193600008264184,16.415699967183173,0.1922000665217638,17.80150004196912,56.175041296653816
1,,results27_fp32_640,640,480,2,0.24021528661251068,7.0457999827340245,25.55629995185882,0.2327000256627798,32.83479996025562,30.455492380353604
1,,results27_mixed_q3q4_640,640,480,1,0.23586991429328918,6.9754000287503,26.10579994507134,0.341000035405159,33.4222000092268,29.920232651469146
2,,results20_fp32_320,320,240,2,0.41244709491729736,0.686999992467463,4.447000101208687,0.1821999903768301,5.31620008405298,188.10428204154746
2,,results20_int8_percentile_320,320,240,2,0.4084915518760681,0.5955999949947,14.036100008524954,0.20549993496388197,14.837199938483536,67.39816165759689
2,,results27_fp32_640,640,480,1,0.2344803810119629,5.893300054594874,20.521400030702353,0.269699958153069,26.684400043450296,37.47507901139605
2,,results27_mixed_q3q4_640,640,480,1,0.22728854417800903,4.886099952273071,22.66290003899485,0.22039993200451136,27.76939992327243,36.01086097513903
3,,results20_fp32_320,320,240,1,0.45901504158973694,0.6501000607386231,5.764200002886355,0.2893999917432666,6.703700055368245,149.17135190128496
3,,results20_int8_percentile_320,320,240,1,0.45478156208992004,1.0081999935209751,10.067100054584444,0.2261999761685729,11.301500024273992,88.48382939009373
3,,results27_fp32_640,640,480,2,0.2805265188217163,4.53809997998178,20.832100068219006,0.33469998743385077,25.704900035634637,38.90308846226605
3,,results27_mixed_q3q4_640,640,480,2,0.27481746673583984,4.419500008225441,27.465400053188205,0.2503000432625413,32.13520010467619,31.118524133742174
4,,results20_fp32_320,320,240,1,0.46378692984580994,0.6274000043049455,7.34719994943589,0.2862000837922096,8.260800037533045,121.05365042810477
4,,results20_int8_percentile_320,320,240,1,0.46221044659614563,0.7321999873965979,18.063300056383014,0.20110001787543297,18.996600061655045,52.640998744744685
4,,results27_fp32_640,640,480,2,0.2620523273944855,3.7179000210016966,16.366599942557514,0.23640005383640528,20.320900017395616,49.2104187877483
4,,results27_mixed_q3q4_640,640,480,2,0.26100048422813416,3.803499974310398,20.201899926178157,0.22030004765838385,24.22569994814694,41.27847707766609
5,,results20_fp32_320,320,240,2,0.4887053668498993,0.5929999751970172,6.131600006483495,0.23909995798021555,6.963699939660728,143.60182211537392
5,,results20_int8_percentile_320,320,240,2,0.4569166302680969,0.5862999241799116,9.021100006066263,0.1957999775186181,9.803199907764792,102.00750871232697
5,,results27_fp32_640,640,480,2,0.24226173758506775,4.15429996792227,17.334300093352795,0.23969996254891157,21.728300023823977,46.022928572578195
5,,results27_mixed_q3q4_640,640,480,2,0.24349218606948853,4.269000026397407,22.999799926765263,0.2720000920817256,27.540800045244396,36.30976581497947
6,,results20_fp32_320,320,240,1,0.5341786742210388,0.9528999216854572,7.100100046955049,0.2976000541821122,8.350600022822618,119.7518737895419
6,,results20_int8_percentile_320,320,240,2,0.5519897937774658,0.722500029951334,12.434000032953918,0.1745999325066805,13.331099995411932,75.0125646303878
6,,results27_fp32_640,640,480,2,0.23376542329788208,3.807600005529821,22.573300055228174,0.24909991770982742,26.629999978467822,37.55163352642015
6,,results27_mixed_q3q4_640,640,480,2,0.2333218902349472,4.05649992171675,21.435200003907084,0.23290002718567848,25.724599952809513,38.87329644909735
