[2026-08-13T19:04:29] attempt=1 mode=fresh experiment=r2_home_fpn48_lr0750_seed2_100e
========================================================================
FULL TRAINING
========================================================================
device              : cuda
torch_version       : 2.3.1
cuda_build          : 12.1
cuda_available      : True
gpu_name            : NVIDIA GeForce MX570 A
gpu_vram_gib        : 4.0
compute_capability  : 8.6
train_images        : 12322
valid_images        : 1531
batch_size          : 8
amp_enabled         : True
start_epoch         : 1
epoch  60/100 | train 1.3365 | valid 1.6223 | mAP 0.2174 | best 0.2242 | 885.8s
epoch  61/100 | train 1.3308 | valid 1.6317 | mAP 0.2120 | best 0.2242 | 881.5s
epoch  62/100 | train 1.3320 | valid 1.6297 | mAP 0.2243 | best 0.2243 | 885.1s
epoch  63/100 | train 1.3273 | valid 1.6382 | mAP 0.2103 | best 0.2243 | 883.6s
epoch  64/100 | train 1.3253 | valid 1.6358 | mAP 0.2140 | best 0.2243 | 895.1s
epoch  65/100 | train 1.3253 | valid 1.6297 | mAP 0.2174 | best 0.2243 | 891.6s
epoch  66/100 | train 1.3222 | valid 1.6326 | mAP 0.2132 | best 0.2243 | 895.0s
epoch  67/100 | train 1.3211 | valid 1.6374 | mAP 0.2108 | best 0.2243 | 892.1s
epoch  68/100 | train 1.3172 | valid 1.6366 | mAP 0.2165 | best 0.2243 | 908.4s
epoch  69/100 | train 1.3155 | valid 1.6383 | mAP 0.2143 | best 0.2243 | 892.8s
epoch  70/100 | train 1.3137 | valid 1.6471 | mAP 0.2111 | best 0.2243 | 889.4s
epoch  71/100 | train 1.3116 | valid 1.6433 | mAP 0.2115 | best 0.2243 | 893.7s
epoch  72/100 | train 1.3101 | valid 1.6474 | mAP 0.2112 | best 0.2243 | 904.1s
epoch  73/100 | train 1.3074 | valid 1.6452 | mAP 0.2116 | best 0.2243 | 889.2s
epoch  74/100 | train 1.3062 | valid 1.6428 | mAP 0.2171 | best 0.2243 | 891.0s
epoch  75/100 | train 1.3043 | valid 1.6496 | mAP 0.2122 | best 0.2243 | 899.7s
epoch  76/100 | train 1.3008 | valid 1.6458 | mAP 0.2117 | best 0.2243 | 922.2s
epoch  77/100 | train 1.3008 | valid 1.6499 | mAP 0.2115 | best 0.2243 | 891.9s
epoch  78/100 | train 1.2994 | valid 1.6549 | mAP 0.2087 | best 0.2243 | 896.9s
epoch  79/100 | train 1.2998 | valid 1.6496 | mAP 0.2117 | best 0.2243 | 898.2s
epoch  80/100 | train 1.2972 | valid 1.6496 | mAP 0.2093 | best 0.2243 | 902.3s
epoch  81/100 | train 1.2967 | valid 1.6537 | mAP 0.2086 | best 0.2243 | 898.3s
epoch  82/100 | train 1.2939 | valid 1.6529 | mAP 0.2108 | best 0.2243 | 892.6s
epoch  83/100 | train 1.2924 | valid 1.6545 | mAP 0.2090 | best 0.2243 | 895.9s
epoch  84/100 | train 1.2917 | valid 1.6520 | mAP 0.2120 | best 0.2243 | 899.0s
epoch  85/100 | train 1.2908 | valid 1.6589 | mAP 0.2081 | best 0.2243 | 893.4s
epoch  86/100 | train 1.2907 | valid 1.6569 | mAP 0.2059 | best 0.2243 | 900.7s
epoch  87/100 | train 1.2890 | valid 1.6476 | mAP 0.2086 | best 0.2243 | 892.4s
