rank,result,experiment,seed,fpn_channels,backbone_expansion,box_loss_weight,center_sampling_radius,learning_rate_initial,epochs_completed,best_epoch,epochs_since_best,best_map50_95,delta_vs_results4,best_ap50,best_ap75,best_precision,best_recall,best_f1_at_operating_threshold,best_f1_any_threshold,best_f1_threshold,best_tiny_recall,best_small_recall,best_medium_recall,best_large_recall,best_valid_total,best_train_total,last_map50_95,last_valid_total,last_train_total,last_precision,last_recall,last_f1,last5_map_mean,last5_map_std,last5_map_min,last5_map_max,common28_best_epoch,common28_best_map50_95,common20_28_map_mean,common20_28_map_std,common20_28_map_slope_per_epoch,map_at_epoch_10,map_at_epoch_20,map_at_epoch_25,map_at_epoch_28,last10_map_slope_per_epoch,last10_valid_loss_slope_per_epoch,last10_train_loss_slope_per_epoch,last_generalization_gap,warning_count_total,nonfinite_gradient_epochs,gradient_norm_median,gradient_norm_max_finite,seconds_total,seconds_median,seconds_p95,projected_100_epochs_hours,train_images_per_second_median,peak_vram_gib_max,gpu_name,torch_version,best_checkpoint_bytes,best_checkpoint_sha256,last_checkpoint_bytes,last_checkpoint_sha256
1,results.14,r3_school1_fpn48_exp200_seed11,20260811,48,2.0,2.0,1.5,0.001,30,29,1,0.2532377852126956,0.0007597839387016858,0.5504938960075378,0.2016825675964355,0.6731894076358609,0.5103192518542405,0.5805475306094373,0.5809631943702698,0.24853515625,0.0738532110091743,0.4533067464273845,0.6362524034259744,0.7797858099062919,1.6073910699536402,1.430292236030876,0.2350063175203104,1.6417674372593565,1.426870359615846,0.5346682606096832,0.5769106739761367,0.5549868155731348,0.2443917272616818,0.006488687120109759,0.2350063175203104,0.2532377852126956,25,0.2504344653716543,0.24209526588278496,0.005321181271207542,0.0008261715838186137,0.1644185865579857,0.2445618927507894,0.2504344653716543,0.2492970446284744,0.0008513368827477749,0.0023993673122892534,-0.005864000837899494,0.2148970776435104,0,0,1.0541843289291704,4.593221729529368,15527.403904100036,517.082104000001,525.8604789250028,14.363391777777805,40.87414978124958,0.3596968650817871,NVIDIA GeForce MX570 A,2.3.1,4168168,d44db15bcb623ede678c48150ce7ef6965f871fa0d3df80d8bec2e900f8ff27a,4168168,1e4633f06fe33e91f069ddf1e8bf9ebfe2487a75561ebc764bd854345a9b12fa
2,results.15,r3_school2_fpn48_exp200_seed14,20260814,48,2.0,2.0,1.5,0.001,31,20,11,0.2309286308533046,-0.0215493704206893,0.4989153146743774,0.1799685359001159,0.8544267877412032,0.2427442760399871,0.3780763435459568,0.5429621338844299,0.1397705078125,0.0018348623853211,0.1847789963443004,0.2553749344520188,0.6626506024096386,1.633316446095705,1.4855209438831776,0.2102773834601976,1.6577672561009724,1.4208080637764622,0.8229901269393513,0.1881651080296678,0.3062992125984252,0.21524154776270735,0.00341908144775653,0.2102773834601976,0.2209022304508835,20,0.2309286308533046,0.2167641873958119,0.0068811171686558115,-0.00041015724556928157,0.209118080427288,0.2309286308533046,0.2110195249435492,0.2209022304508835,0.0003170083474216265,0.00028086831097055577,-0.005746877630692385,0.23695919232451024,0,0,1.0554076612769785,3.629190368427859,15628.517432899913,504.89227989999927,512.8076105999935,14.024785552777757,41.581562806592274,0.3590869903564453,NVIDIA GeForce MX570 A,2.5.1+cu121,4168168,50dcb73704b6654cfaba5b1ec2be0d21606f00a29cff6042043fb6285eaae0a5,4168168,9b27a07e033d2a4cd57ffb43e9060c2afe92cc98072392fc6c47b19e17c963ff
3,results.19,r3_school6_fpn48_radius200_seed11,20260811,48,2.0,2.0,2.0,0.001,28,28,0,0.2284564762434456,-0.024021525030548302,0.502601683139801,0.1778398007154464,0.7934467776973207,0.3533537568526282,0.4889558232931726,0.5469200611114502,0.1917724609375,0.0123853211009174,0.2087072116982386,0.4719454640797063,0.6880856760374833,1.594659749418497,1.437664472050481,0.2284564762434456,1.594659749418497,1.437664472050481,0.7934467776973207,0.3533537568526282,0.4889558232931726,0.22039803866413415,0.004282134873869235,0.2161563857691362,0.2284564762434456,28,0.2284564762434456,0.2204320303741648,0.0037278910842070637,0.0004739618845390819,0.1745937004627194,0.2183976285246899,0.220568485208787,0.2284564762434456,0.000969704407175546,-0.0017530360343781897,-0.006486937769376002,0.1569952773680161,0,0,1.0749737974788462,3.4278728958461198,15071.32263569998,538.9882404000091,547.846458929994,14.97189556666692,38.13044222061127,0.3589344024658203,NVIDIA GeForce MX570 A,2.3.1,4168168,7ed3bc3f1a814b9bfb6e272fb73c22380277a8d6ded7b3aef431ad582391c495,4168168,825d569e6732d0be5d3b582f231ed71a76f1a4610c31b00c8dc601206e2e43ac
4,results.16,r3_school3_fpn48_exp250_seed11,20260811,48,2.5,2.0,1.5,0.001,30,16,14,0.2205412965500727,-0.03193670472392118,0.507529616355896,0.1580657809972763,0.7896417169208939,0.3589164785553047,0.4935151313601595,0.5505300164222717,0.188720703125,0.0243119266055045,0.2429378531073446,0.4579618947736409,0.7014725568942436,1.6031895329554875,1.4991041385508204,0.2075598155090119,1.602816072603067,1.4008508323849025,0.7593414724380319,0.3309416317316994,0.4609769792251543,0.2040417251369217,0.0024590652522485904,0.201847768103471,0.2075598155090119,16,0.2205412965500727,0.21056783269992185,0.006626584724723474,-0.0022025332009919215,0.2032136242545675,0.2201762962955399,0.2101486906060017,0.2064824348082766,-0.0014827593880269879,0.000713701414489982,-0.006179307698265135,0.20196524021816442,0,0,1.0430790623480624,3.859764207338358,15189.509161199996,505.8026162000024,515.9454130349841,14.050072672222289,41.2430856190398,0.3928771018981933,NVIDIA GeForce MX570 A,2.5.1+cu121,5014056,28e128da3c4ad501d342caa07744eba140d3cdc0d1b473f2b49e951d856c99d4,5014056,7980b17b9cfc60cbac3cc4892148b8cb1d62e904d281d86abe24fe0c4a0cf6b2
5,results.17,r3_school4_fpn48_exp250_seed14,20260814,48,2.5,2.0,1.5,0.001,31,27,4,0.2202667471487075,-0.03221125412528639,0.4855201542377472,0.1709679514169693,0.8274509803921568,0.2551596259271202,0.3900425164828393,0.5289524793624878,0.1551513671875,0.0041284403669724,0.1465603190428714,0.322146477888481,0.5836680053547524,1.6104301065206528,1.41043227431062,0.2185027190338587,1.617052858074506,1.387932280518792,0.8295235472321675,0.2428248951950983,0.3756782039289055,0.2163209346792428,0.003318457416649345,0.2119257998187095,0.2202667471487075,27,0.2202667471487075,0.21095313999071041,0.007323049662927665,0.002567948184926858,0.1810794853969128,0.2025549588783178,0.2161238746484741,0.2180922457773704,0.0013303301276667377,-0.00015371837323959847,-0.005860642565371022,0.22912057755571413,0,0,1.0519073234363037,3.576028259388812,15353.866768499895,491.21465170002193,523.0462665999949,13.64485143611172,41.80548941041834,0.3908834457397461,NVIDIA GeForce MX570 A,2.3.1,5014056,5304d13855eb1e60ac74499af4161c9cf014fe5965cfa05960037f4a989d0772,5014056,2118648c4e9978b82e41d195ad369d3a8d8d813cb9c5c2293491b288318e805a
6,results.18,r3_school5_fpn48_box250_seed11,20260811,48,2.0,2.5,1.5,0.001,32,30,2,0.209304499879363,-0.04317350139463089,0.478251576423645,0.1548213809728622,0.7985492227979275,0.3106256046436633,0.4472691392419757,0.5357258319854736,0.1727294921875,0.0110091743119266,0.1794616151545364,0.3840237720678203,0.7309236947791165,1.822022990634044,1.5671815513790428,0.2022255707299337,1.8411476456870637,1.5568814641469484,0.8206018518518519,0.2286359238955175,0.3576292559899117,0.20240514703182272,0.003793926660167946,0.1987452816218137,0.209304499879363,18,0.2034088787942892,0.19621453751747645,0.005261972348040081,0.00015432916166902483,0.1845001178560778,0.1947557112052891,0.2027786961116362,0.1991060197295155,0.0004500906180791603,-0.00021428443641976637,-0.0064423011448006984,0.2842661815401153,0,0,1.2547945924780586,4.694105436198123,15284.43845609996,476.2032704999874,484.7566161850038,13.227868624999651,42.30744558719647,0.3596968650817871,NVIDIA GeForce MX570 A,2.3.1,4168168,79a3cb8f3a349753d37c9c1d48795f149a01dd31ed362193aae68fe6429b053e,4168168,0fe3e9c83697fa788e6d581ca373cd3b9bbfffbb471bbbc80428c2f5723ed3b0
