epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count,result,experiment
11,0.0009704403844771,1.581071242651382,0.2864633737059383,0.6475145260621975,0.3235466709578192,459.0694805194805,1.1162340098000192,1.726878526310126,0.3823224002650628,0.6467613950371742,0.3488973661636312,522.859375,0.455327957868576,0.0770122557878494,0.1689122465228138,0.4914304020502963,0.4946791357626572,0.4930494174367215,0.5035061836242676,0.27685546875,0.327183534179375,6136,6350,6268,0.7082403302192688,8.155453951665578,0.0339647289353363,0.1443500979751796,0.25,2180,128,0.0587155963302752,3009,1479,0.4915254237288136,5721,3564,0.6229680125852124,1494,965,0.6459170013386881,40.06553444227915,0.3580403327941894,1024.0,520.7327785999951,0,results.14,r3_school1_fpn48_exp200_seed11
12,0.0009648882429441,1.569704350403377,0.2825334456350122,0.64671616794227,0.320227368979098,459.0103896103896,1.1032034795392642,1.736840395256877,0.4039460821853329,0.6466611968353391,0.3431165570703645,522.859375,0.4721782505512237,0.0927765816450119,0.1797141726030531,0.4358002092050209,0.5374072879716221,0.4812996389891696,0.5163724422454834,0.30712890625,0.3169154701911191,6666,8630,5738,0.7087529897689819,9.990855649902024,0.0209013716525146,0.1254082299150881,0.25,2180,182,0.0834862385321101,3009,1636,0.5437022266533732,5721,3793,0.6629959797238245,1494,1055,0.7061579651941098,40.51650902094441,0.3578147888183594,1024.0,520.7465289999964,0,results.14,r3_school1_fpn48_exp200_seed11
13,0.0009588773128419,1.55412430685836,0.2789309971228048,0.6457698325058082,0.3147117385519789,459.0974025974026,1.0759772937406191,1.6892206830283003,0.3590607983060181,0.6462525579457482,0.3419536632330467,522.859375,0.4817155599594116,0.1047538146376609,0.1891845867732627,0.5389231973558319,0.4995162850693325,0.5184720304589766,0.5257810354232788,0.263427734375,0.3499576390850042,6196,5301,6208,0.7154757976531982,7.509470934030046,0.0489875898105813,0.1593729588504245,0.25,2180,178,0.081651376146789,3009,1520,0.5051512130275839,5721,3558,0.6219192448872575,1494,940,0.6291834002677377,40.19810226364364,0.3589344024658203,2048.0,529.5493039000139,0,results.14,r3_school1_fpn48_exp200_seed11
14,0.000952413526233,1.542423264546828,0.2740690501479359,0.64542041595106,0.3114669002011999,459.0253246753247,1.0817703388728104,1.66383468794326,0.3482982960995286,0.6458602525914708,0.334838065241153,522.859375,0.5085964202880859,0.1377956718206405,0.2111374888776481,0.5925995846705683,0.5061270557884553,0.5459605183059396,0.5493960380554199,0.263671875,0.3754784688995215,6278,4316,6126,0.7264142036437988,6.919660352710647,0.0385369039843239,0.1384715871979098,0.25,2180,182,0.0834862385321101,3009,1539,0.5114656031904287,5721,3513,0.6140534871525957,1494,1044,0.6987951807228916,40.79981948983897,0.3577723503112793,2048.0,525.8437459999986,0,results.14,r3_school1_fpn48_exp200_seed11
15,0.0009455032620941,1.5330162971824794,0.2714756551501038,0.6448152305243852,0.3083627067603074,459.0902597402597,1.055867025140044,1.6517331544309857,0.3374830467316012,0.645979123810927,0.334135491012906,522.859375,0.5106560587882996,0.1204883530735969,0.2065841020641528,0.5761840324763193,0.5149145436955821,0.5438290263527609,0.5539261102676392,0.2734375,0.3734650918021284,6387,4698,6017,0.7210047841072083,7.240365774003919,0.0300457217504898,0.1195297191378184,0.25,2180,146,0.0669724770642201,3009,1485,0.4935194416749751,5721,3633,0.6350288411116938,1494,1123,0.7516733601070951,40.69077579017398,0.3589344024658203,2048.0,514.0116888000048,0,results.14,r3_school1_fpn48_exp200_seed11
16,0.0009381533400219,1.5207331890409643,0.2678503841935814,0.6439394753474694,0.3044716656498321,459.087012987013,1.0437636061922295,1.6423888094723225,0.3306300197727978,0.6451461442435781,0.3333063208653281,522.859375,0.5092569589614868,0.1360417902469635,0.208669983848813,0.6240432697214001,0.4929861335053209,0.5508264648921317,0.5528424978256226,0.256591796875,0.3800969666832421,6115,3684,6289,0.72723788022995,6.400391900718485,0.0431090790333115,0.1345525800130633,0.25,2180,143,0.0655963302752293,3009,1437,0.4775672981056829,5721,3471,0.6067121132669113,1494,1064,0.7121820615796519,40.394199512147125,0.3575844764709472,2048.0,518.2601622999937,0,results.14,r3_school1_fpn48_exp200_seed11
17,0.0009303710135019,1.5141427254522002,0.2661368736392492,0.6434836518841904,0.3022611003804517,459.0441558441559,1.0525016327182968,1.655112514893214,0.3476927037506054,0.6447658541922768,0.3313269809974978,522.859375,0.5143940448760986,0.1245515346527099,0.207847514169407,0.5333333333333333,0.5366010964205095,0.5349622247227134,0.5535240769386292,0.28173828125,0.3651525126179504,6656,5824,5748,0.7213931679725647,8.151534944480732,0.0287393860222077,0.1123448726322664,0.25,2180,227,0.1041284403669724,3009,1543,0.5127949484878698,5721,3747,0.654955427372837,1494,1139,0.7623828647925034,40.79478004799863,0.3596968650817871,2048.0,518.4195699999982,0,results.14,r3_school1_fpn48_exp200_seed11
18,0.000922163962751,1.5028936696517003,0.2619368655486153,0.6431425255227399,0.2989071384749629,459.0785714285714,1.022273782321385,1.629350536192457,0.3230615424302717,0.6448377699901661,0.3307256093248725,522.859375,0.5276418924331665,0.1518438011407852,0.2233128484076587,0.6654754169374052,0.4954047081586585,0.5679822534430169,0.5687345862388611,0.25244140625,0.3966307364616278,6145,3089,6259,0.7335015535354614,6.031352057478772,0.0613977792292619,0.1430437622468974,0.25,2180,165,0.0756880733944954,3009,1503,0.4995014955134596,5721,3458,0.6044397832546757,1494,1019,0.6820615796519411,41.07296989231164,0.3589344024658203,2048.0,516.6709035999957,0,results.14,r3_school1_fpn48_exp200_seed11
19,0.0009135402871372,1.4963204293282002,0.2611723627991877,0.6425643435933374,0.2962918621185538,459.1051948051948,1.0347236881008397,1.6210309683034818,0.3068214322750767,0.6456230736027161,0.3342932316785057,522.859375,0.5209419131278992,0.1498960703611374,0.2207495043690869,0.7227313798889893,0.4513866494679135,0.5557044315418589,0.5633597373962402,0.224609375,0.384758108851017,5599,2148,6805,0.7381103038787842,5.06009144350098,0.077726975832789,0.1659046374918354,0.25,2180,121,0.0555045871559633,3009,1283,0.426387504154204,5721,3176,0.5551477014507953,1494,1019,0.6820615796519411,40.59640651949496,0.3571739196777344,2048.0,511.6822757000045,0,results.14,r3_school1_fpn48_exp200_seed11
20,0.0009045084971874,1.486667952909098,0.2578632142975345,0.6420091142902127,0.2933978117808893,459.1357142857143,1.005112361907959,1.6174635713299117,0.3214802745884905,0.6447737812995911,0.3256047559746851,522.859375,0.5368945598602295,0.1945770978927612,0.2445618927507894,0.6425678412312678,0.5116091583360206,0.5696588868940754,0.5704841017723083,0.25244140625,0.3982678549014685,6346,3530,6058,0.7446267604827881,6.450685826257348,0.0502939255388634,0.1371652514696276,0.25,2180,162,0.0743119266055045,3009,1477,0.490860751080093,5721,3609,0.6308337703198742,1494,1098,0.7349397590361446,40.96789059984344,0.3573760986328125,2048.0,520.4275531000167,0,results.14,r3_school1_fpn48_exp200_seed11
21,0.0008950775061878,1.4793178176725066,0.2563047804035149,0.6414517206805093,0.2907806580136348,459.0694805194805,1.009386953866327,1.6091751866042614,0.3119120462797582,0.6441065830489,0.3265782753781726,522.859375,0.539449155330658,0.1738941073417663,0.2354777883389033,0.6641759629551673,0.5087874879071267,0.57618917191637,0.5775933861732483,0.256591796875,0.4046809874959923,6311,3191,6093,0.737896203994751,6.206401045068582,0.0529065969954278,0.131939908556499,0.25,2180,167,0.0766055045871559,3009,1445,0.480225988700565,5721,3579,0.6255899318300996,1494,1120,0.749665327978581,40.00677095604735,0.3569316864013672,2048.0,524.2184522000025,0,results.14,r3_school1_fpn48_exp200_seed11
22,0.0008852566213878,1.4720306347716938,0.2528499569356828,0.6414480453961855,0.2888663154821117,459.0103896103896,0.9996209655102196,1.6057449771712224,0.3069822979935755,0.6444882921253642,0.327137194496269,522.859375,0.5440554618835449,0.1851057559251785,0.2421438200282864,0.7034890328446415,0.4990325701386649,0.5838796396736311,0.5841677784919739,0.25048828125,0.4123093319123426,6190,2609,6214,0.7409441471099854,5.747224036577401,0.0659699542782495,0.1450032658393207,0.25,2180,181,0.0830275229357798,3009,1478,0.4911930874044533,5721,3448,0.6026918370914176,1494,1083,0.7248995983935743,40.403726270082615,0.3569369316101074,2048.0,521.8477827000024,0,results.14,r3_school1_fpn48_exp200_seed11
23,0.0008750555348152,1.4674819654458529,0.2527936712487951,0.6409531985010419,0.2868675472287388,459.0694805194805,0.9866738144646992,1.6097750539580982,0.3048890146892518,0.6452855148042241,0.3298002628919979,522.859375,0.536750316619873,0.1795893311500549,0.237827095263492,0.6921176734785538,0.4969364721057723,0.5785077428437353,0.5790217518806458,0.251220703125,0.4069721378581803,6164,2742,6240,0.7426781058311462,5.817112998040496,0.0496407576747224,0.1254082299150881,0.25,2180,131,0.060091743119266,3009,1379,0.4582917912927883,5721,3506,0.612829924838315,1494,1148,0.7684069611780455,40.75990187512211,0.3569507598876953,2048.0,513.7573874999944,0,results.14,r3_school1_fpn48_exp200_seed11
24,0.0008644843137107,1.4555490092023626,0.2486062565697478,0.6402486069635911,0.2833470738263099,459.0642857142857,0.98093993315449,1.6098779030144217,0.3077237251369903,0.6441872998451194,0.3289834364938239,522.859375,0.5378634333610535,0.171036496758461,0.2346977976165362,0.6819087688219664,0.496533376330216,0.5746407911923865,0.5761081576347351,0.2412109375,0.4031550697126399,6159,2873,6245,0.7390544414520264,5.899412148922273,0.0561724363161332,0.1332462442847811,0.25,2180,149,0.068348623853211,3009,1386,0.46061814556331,5721,3495,0.610907184058731,1494,1129,0.7556894243641231,40.767310608185696,0.3575940132141113,2048.0,514.5518002999888,0,results.14,r3_school1_fpn48_exp200_seed11
