rank,result,experiment,seed,fpn_channels,backbone_expansion,box_loss_weight,center_sampling_radius,epochs_completed,best_epoch,best_map50_95,delta_vs_results4,best_ap50,best_ap75,best_precision,best_recall,best_f1,best_tiny_recall,best_small_recall,common28_best_epoch,common28_best_map50_95,common20_28_map_mean,last5_map_mean,last5_map_std,last10_map_slope,last10_valid_loss_slope,last_train_total,last_valid_total,warning_count_total
1,results.14,r3_school1_fpn48_exp200_seed11,11,48,2.0,2.0,1.5,30,29,0.2532377852126956,0.0007597839387016858,0.5504938960075378,0.2016825675964355,0.6731894076358609,0.5103192518542405,0.5805475306094373,0.0738532110091743,0.4533067464273845,25,0.2504344653716543,0.24209526588278496,0.2443917272616818,0.006488687120109759,0.0008513368827477749,0.0023993673122892534,1.426870359615846,1.6417674372593565,0
2,results.15,r3_school2_fpn48_exp200_seed14,14,48,2.0,2.0,1.5,31,20,0.2309286308533046,-0.0215493704206893,0.4989153146743774,0.1799685359001159,0.8544267877412032,0.2427442760399871,0.3780763435459568,0.0018348623853211,0.1847789963443004,20,0.2309286308533046,0.2167641873958119,0.21524154776270735,0.00341908144775653,0.0003170083474216265,0.00028086831097055577,1.4208080637764622,1.6577672561009724,0
3,results.19,r3_school6_fpn48_radius200_seed11,11,48,2.0,2.0,2.0,28,28,0.2284564762434456,-0.024021525030548302,0.502601683139801,0.1778398007154464,0.7934467776973207,0.3533537568526282,0.4889558232931726,0.0123853211009174,0.2087072116982386,28,0.2284564762434456,0.2204320303741648,0.22039803866413415,0.004282134873869235,0.000969704407175546,-0.0017530360343781897,1.437664472050481,1.594659749418497,0
4,results.16,r3_school3_fpn48_exp250_seed11,11,48,2.5,2.0,1.5,30,16,0.2205412965500727,-0.03193670472392118,0.507529616355896,0.1580657809972763,0.7896417169208939,0.3589164785553047,0.4935151313601595,0.0243119266055045,0.2429378531073446,16,0.2205412965500727,0.21056783269992185,0.2040417251369217,0.0024590652522485904,-0.0014827593880269879,0.000713701414489982,1.4008508323849025,1.602816072603067,0
5,results.17,r3_school4_fpn48_exp250_seed14,14,48,2.5,2.0,1.5,31,27,0.2202667471487075,-0.03221125412528639,0.4855201542377472,0.1709679514169693,0.8274509803921568,0.2551596259271202,0.3900425164828393,0.0041284403669724,0.1465603190428714,27,0.2202667471487075,0.21095313999071041,0.2163209346792428,0.003318457416649345,0.0013303301276667377,-0.00015371837323959847,1.387932280518792,1.617052858074506,0
6,results.18,r3_school5_fpn48_box250_seed11,11,48,2.0,2.5,1.5,32,30,0.209304499879363,-0.04317350139463089,0.478251576423645,0.1548213809728622,0.7985492227979275,0.3106256046436633,0.4472691392419757,0.0110091743119266,0.1794616151545364,18,0.2034088787942892,0.19621453751747645,0.20240514703182272,0.003793926660167946,0.0004500906180791603,-0.00021428443641976637,1.5568814641469484,1.841147645687064,0
